geometry,latitude,longitude,Name,Description
"{""type"":""Point"",""coordinates"":[93.52118523133088,24.97028692993491,0.0]}",24.97028692993491,93.52118523133088,ls1,""
"{""type"":""Point"",""coordinates"":[93.5034392044744,24.97413351746923,0.0]}",24.97413351746923,93.5034392044744,ls3,""
"{""type"":""Point"",""coordinates"":[93.50736338960796,24.98901172551346,0.0]}",24.98901172551346,93.50736338960796,ls4,""
"{""type"":""Point"",""coordinates"":[93.48798930845182,25.00254772691956,0.0]}",25.00254772691956,93.48798930845182,ls6,""
"{""type"":""Point"",""coordinates"":[93.4986503381097,25.03122906607011,0.0]}",25.03122906607011,93.4986503381097,ls28,""
"{""type"":""Point"",""coordinates"":[93.47546662826102,24.9867999764469,0.0]}",24.9867999764469,93.47546662826102,ls7,""
"{""type"":""Point"",""coordinates"":[93.46864172779236,25.01273447791338,0.0]}",25.01273447791338,93.46864172779236,ls11,""
"{""type"":""Point"",""coordinates"":[93.54421788687114,24.98561256944878,0.0]}",24.98561256944878,93.54421788687114,ls12,""
"{""type"":""Point"",""coordinates"":[93.67532181981177,24.8029134169929,0.0]}",24.8029134169929,93.67532181981177,ls13,""
"{""type"":""Point"",""coordinates"":[93.66867527021452,24.80676936030473,0.0]}",24.80676936030473,93.66867527021452,ls14,""
"{""type"":""Point"",""coordinates"":[93.63358894584535,24.85921956378668,0.0]}",24.85921956378668,93.63358894584535,ls15,""
"{""type"":""Point"",""coordinates"":[93.74486393850249,24.86255454776558,0.0]}",24.86255454776558,93.74486393850249,ls16,""
"{""type"":""Point"",""coordinates"":[93.57177875320174,24.82634081973445,0.0]}",24.82634081973445,93.57177875320174,ls17,""
"{""type"":""Point"",""coordinates"":[93.56096380406002,24.82929469232215,0.0]}",24.82929469232215,93.56096380406002,ls18,""
"{""type"":""Point"",""coordinates"":[93.45465658555896,24.84807047725074,0.0]}",24.84807047725074,93.45465658555896,ls18,""
"{""type"":""Point"",""coordinates"":[93.45351787973826,24.78334562040957,0.0]}",24.78334562040957,93.45351787973826,ls19,""
"{""type"":""Point"",""coordinates"":[93.4503216562585,24.93393280123636,0.0]}",24.93393280123636,93.4503216562585,ls20,""
"{""type"":""Point"",""coordinates"":[93.47306956994274,24.91569924253067,0.0]}",24.91569924253067,93.47306956994274,ls21,""
"{""type"":""Point"",""coordinates"":[93.47587447854964,24.82129119629527,0.0]}",24.82129119629527,93.47587447854964,ls22,""
"{""type"":""Point"",""coordinates"":[93.5151339231092,24.9599839466345,0.0]}",24.9599839466345,93.5151339231092,ls23,""
"{""type"":""Point"",""coordinates"":[93.51243216049046,24.68476971901789,0.0]}",24.68476971901789,93.51243216049046,ls14,""
"{""type"":""Point"",""coordinates"":[93.5766824360727,24.85543494426969,0.0]}",24.85543494426969,93.5766824360727,ls25,""
"{""type"":""Point"",""coordinates"":[93.60875812894488,24.86619330761757,0.0]}",24.86619330761757,93.60875812894488,ls26,""
"{""type"":""Point"",""coordinates"":[93.49555033798529,24.67421045083353,0.0]}",24.67421045083353,93.49555033798529,ls29,""
"{""type"":""Point"",""coordinates"":[93.47232392533532,24.73992094072798,0.0]}",24.73992094072798,93.47232392533532,ls30,""
"{""type"":""Point"",""coordinates"":[93.52737633718462,24.77639994484195,0.0]}",24.77639994484195,93.52737633718462,ls31,""
"{""type"":""Point"",""coordinates"":[93.51609088971537,24.75744365076415,0.0]}",24.75744365076415,93.51609088971537,ls32,""
"{""type"":""Point"",""coordinates"":[93.56804981621838,24.92041497906979,0.0]}",24.92041497906979,93.56804981621838,ls33,""
"{""type"":""Point"",""coordinates"":[93.58669184902091,24.93294542070259,0.0]}",24.93294542070259,93.58669184902091,ls34,""
